score,content,date,score_sentiment
4,App can have more features! : Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,2024-03-06 08:36:37,1
5,A big bang! : A bank like no other no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see 💵 coming in to the bank daily! The user interfaces is so intuitive that every button can be found with your eyes close that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interestLots of potential for the product and I can’t wait to see more of it.,2022-11-09 03:13:16,1
1,Unreasonable drop in interest rate : Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.,2023-09-09 08:33:43,-1
2,Unable to transfer funds back to myself : Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app re-logging in with SingPass) still don’t work.,2023-06-27 04:01:39,-1
5,Potentially the best UI/UX among all the new digibanks : I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!,2022-10-02 04:17:49,1
1,Not for everyone (even if we want) : Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing whenever anyone ask for why the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long),2023-04-23 14:54:16,-1
5,A great banking app experience that serves it’s purpose : Great app with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.Overall a good experience! :),2023-01-05 07:08:13,1
1,Very unstable banking app : Hit with fast reversal when transferring money to this gxs bank first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???,2023-09-13 15:30:05,-1
5,Good features : Very easy to use user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app,2022-12-10 11:32:55,1
1,Digital Bank? 🤣🤣🤣🤣🤣 : What a joke! Nothing happens after you input your phone number - nothing! It’ll be so much and I don’t exaggerate when I say this so much faster for you to travel from one end of Singapore to the other to open an account at a traditional bank branch. One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like 2 mins?,2022-09-08 07:14:48,-1
5,Great deposit benefits : Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,2023-11-21 09:22:11,1
