,score,content,thumbsUpCount,replyContent
0,5,Face ID and OTP issues : The OTP to create a new billing payee was sent to my email account? Why the sudden change? Furthermore when I get out of the app to retrieve the OTP and get back to the app by switching (I did not turn off the app) the whole app reset and I had to recreate from the beginning when I switched back the “window” on my iOS. Does that mean I now need more than one device to create a new billing organisation payee? Why the huge inconvenience? If I’m outside and have only my phone how can I create a billing organisation payee easily? The Face ID issue was only resolved after I reset the app and had to change my settings back to enable Face ID. Most likely this issue occurred when the app was updated but this is the first time. Not sure what has happened to the quality control and processes that were in place before. Things are not as clear as before.,0,
1,5,"Easy to use & simple to understand : I find that the POSB digibank app is very easy to use and that everything is pretty simple for us users & consumers to understand. Only problem that I feel needs improvement is the duration of how long y'all take to maintain the app, as we users sometimes are promised a fixed timing whereby we can resume using the app, but when we are on the main page of the app, it indicates that the maintenance still isn't over and that causes a lot of problems as we cannot complete, let's say an important transaction that is really urgent and needs to be done as soon as possible. Other than that, I don't think there's any other issues regarding the app. As a whole, a great app and a very useful platform for users & consumers.",0,
2,5,"The best digital banking app in Singapore! : I absolutely love the POSB Digibank app! It has made managing my finances so much easier and convenient. The user interface is clean and intuitive, and I can easily view my account balances and transaction history. The app also has a lot of useful features, such as the ability to transfer money to other accounts and pay bills. I particularly like the fact that I can set up custom notifications to stay on top of my spending. Overall, I highly recommend the POSB Digibank app to anyone who wants a simple and effective way to manage their money.",0,
3,4,"Accessing digital token when logged in. : Well introducing digital token is a great move and I like the fact I can use it without entering otp and that it is a seamless way to make payments. There is one caveat tho - The way the app allows you to access the digital token. Well u can access the token via the splash screen when u on the app. Great! But upon login, the digital token is not accessible or not that I know of after using this feature for almost a year. I find myself in a situation where I have to log out or force close the app and reopening it to access the digital token.  
Sometimes I need to make sure I have funds before I want to make payment but I can’t get the app to either automatically respond to the payment I’m trying to make and there is no way to access digital token when login inside. Hopefully something can be made to resolve this.",0,
4,4,"Payment Controls Monthly Spend Tracking : Under Payment Controls > Monthly Spend Limit, there is a Current Spend tracking. However, as I was told by CSO that this Current Spend follows a monthly cycle that starts on the day that Monthly Spend Limit is toggled on. Let’s say I toggled on the Limit on 13 Feb, this will trigger the Current Spend to start tracking spending from 13 Feb - 12 Mar. Over time I tend not to remember this cycle (when it starts and ends) and the entire spend tracking is rendered meaningless. Wonder if change Limit midway, will it also change the tracking cycle? Hope to see a spend tracking based on calendar month controlled by monthly spend limit.",0,
5,5,"Best bank app in Sg : POSB digibank app is the best banking app in Singapore I’ve used. I have all 3 major bank apps and a few other banks app. Digibank is fast, clear and easy to use. Unlike other banking apps, there is no lag when moving from 1 screen to another 👍🏼
I wish the bank can lead other banks in savings & fixed deposits rates too 😅 There are areas the bank can do better which I will not mention here as it’s not directly related to the app.",0,
6,1,"Bank app causes phone to get very hot within 1min of use : When I start up the app on my new iPhone 12 which I got in Jan 2021, it causes the phone to get very hot within 1 min. The problem became worse when I upgraded to iOS 14.4. After using the bank app, my phone functions will fail (eg I can’t open apps, can’t download mails, can’t sync to iCloud). Upgrading to iOS 14.4.1 did not help either. I have to restart my phone every time these issues occur. The issue recurs again when I use the bank app. It is unsustainable to keep restarting the phone every time I use the bank app. Given how essential a bank app is (now that the app acts as the digital token and physical tokens are phased out by the bank), I hope that both Apple’s and DBS’ teams can work together to resolve this issue.",0,
7,1,"Violates App Store policies : This DBS/POSB banking app blatantly misuses push notification access for the purpose of advertising. App Store policy: 

4.5.4 Push Notifications must not be required for the app to function, and should not be used to send sensitive personal or confidential information. Push Notifications should not be used for promotions or direct marketing purposes unless customers have explicitly opted in to receive them via consent language displayed in your app’s UI, and you provide a method in your app for a user to opt out from receiving such messages. Abuse of these services may result in revocation of your privileges.

This is a word-for-word popup from the app: With app (push) notifications, never miss: 

1. Offers you wish you knew sooner 

2. Protips to spend wisely 

3. Smart insights meant for you. On a banking app, I would definitely want push notifications for security purposes, such as transactions and login or Digital 2FA token notifications. 

However, I can only either accept the marketing spam (promos etc) or not have these important notifications at all.",0,
8,3,"Connection : I’m unable to login when I’m on mobile data, even after clearing of cache, or restart of the iPhone. When attempting to login, it will cause data cut to the other apps too; unless I kill all the apps and switching on/off the airplane mode to re-established a connection with the mobile service. 

Sometimes, almost never, i can log in, but! as i tap on any of my account, it will throw an error message saying “your system encountered a momentary Technical difficulty...” the same error as logging in or any of the area in the app. 

It will only work fine, on wireless connection. Of course, I’m in an open area, full coverage of 4G, and even tried using it during midday afternoon or super late in the midnight. Same result even no peak hour traffic. So i still think its the app. Because i can do every mobile data related to every other app but yours. 

I hope the development team can take a look into this, because its causing a lot of inconveniences.",0,
9,2,"Fix the terrible performance : Every single update says “performance improvements” but every single time I open the app, my phone gets hot and the battery starts going down about 1% per minute. Are POSB mining Bitcoin on our phones?

Because of this, I use the app as little as possible. But giving more than 1 star since it’s still better than UOB’s app.

It would be more usable if we could give nicknames to bill payments, I have 2 accounts with M1 but POSB only lets me identify them by the 9 digit account number so I need to try to remember which is which every time I need to make a manual payment.",0,
10,5,"Posb digibank app lately- not stable : Of late the posb digibank is not stable. It hanged and took a very long time to open. This started last wk and today as well. I had to delete app and reinstalled to get it working.  After reinstalling, it worked for awhile and then the same problem happens again like today. This is so disappointing and I wonder what happened. Please check, thank you",0,
11,1,App affects mobile connection : An app that affects phone mobile connection when used. Mobile connection will stop working when app is used. It will start to connect when app is started and after a while the app will stop responding saying there is an issue with internet connection. Only then user will find the rest of the apps will also stop working as there is no internet connection from the phone.  Workaround is to enable airplane mode and disable it again to bring back the connection. A simple transaction will sometimes require a few of such actions before it can be completed. Really lousy experience.,0,
12,4,"Love this app and if u don’t have it, get it now!! : Best banking app ever, so easy to use once you learn to navigate.
Quick so I can transfer money smoothly without any issues. Honestly a fantastic app and now it’s come with more enhanced features which make me more knowledgeable about my spending and earnings habits. 
Thank you the great app which makes life easier especially with banking. 
Financial health is important to look after to and this app makes it easy with detailed functions and also gives me an overview of everything.",0,
13,4,"Good app, best in the market in terms of functionality. But one basic feature lacking : This is by far the best banking app on the market. The ability to view all my assets and liabilities in one place is very useful. 

Suffice to say, I’ve started investing in DBS’ funds offerings just to keep everything in one place and easily tracked. 

One major gripe I have with DBS, is that the cards spend is not immediately reflected in card’s balance. If you refer to other banking apps, 1 -2 days after making a purchase on the credit card, immediately you’ll find the outstanding balance (not to be confused with statement balance) on the app. Which makes for easy tracking. 

This is the main reason why I’ve used UOB or Amex rather than DBS credit cards. I can’t track my monthly expenditure on a go with ease. 

Perhaps the team should really look into unlocking this feature.",0,
14,4,"To view multiple Accounts : I used to see all my deposit accounts, credit cards accounts in one page but not anymore. Every time I finished doing one transaction & I have to go to the home page, click the down arrow to list all the accounts & view a specify account & back to home page & repeat this step all over again, is not user friendly for this part, overall experience in other transaction via this app are very fast & simple to use.",0,
15,3,Issues with adding apple pay on apple watch : I encountered issues with adding my POSB debit card for apple pay on apple watch. My other back debit card was successfully set up though and I only have 2 cards to add. The messages either show: 1 - Could not add card/Card not added. Contact your card issuer for more information; OR 2 - Apple Pay is unavailable. Try again later. I did reset both my iPhone and apple watch then logged in again but still have the same issues.,0,
16,4,"No option to delete / clear option for Notifications : There has no option to delete/clear option for Notifications after read. It will be much  better able to delte all the notifications which are just for info. 

Appreciate your immediate attention and add the option to delete in the next update. Thanks.",0,
