,replyContent,score,content,thumbsUpCount,date,sentiment,keywords,generatedReply
0,Hi there! Thank you for your 5-star rating review. 💜 We're thrilled to hear that our app has hit all the right notes. 😄,5,I like how the app is really light and fast compared to other bank apps,0,2024-04-15 02:17:49,POSITIVE,bank apps," Hi @JK, your review really helped us out a lot! Let us know your thoughts, or make a post with the subject line, ""Thanks for the review! We know that you're just happy that we listened to what we're working on."" Have a happy holidays! 🙏 💜"
1,"Hi Jerry, this feature isn't ready at the moment. We will take note of this feedback and incorporate it into our continuous improvement process. Stay tuned to our social media channels for the latest news or updates! 🙏




",1,Cannot add card to google pay. Also cannot add card to touch n' go.,0,2024-04-13 08:22:18,NEGATIVE,google pay," Hi John. My review is from 8th June 2010 and we're really sorry for the inconvenience. We're working hard to address this issue immediately. We're committed to working closely with you on this issue, so please contact us on 020 704 2035 using our support chat from the comfort of our offices. Thanks! 🙏"
2,"Thanks for your feedback on mobile wallets and Scan QR payment, Zack! Currently, our scan QR feature only supports PayNow QR codes. However, we hear you and understand the convenience of NFC technology. We'll certainly work with our team to capture this as part of our continuous improvement process. Please stay tuned for more updates on our app! 😊",4,"Generally good. However please add either NFC function to the app, or allow link to Google Wallet or Apple Pay. Everyone is going wallet-less these days without having the need to carry physical wallets or cards. And why are we unable to scan SGQR codes for payments? Only PayNow QR codes? Would definitely get my 5 stars if not for the above 2 shortcomings. 4 stars for now.",0,2024-04-13 05:53:34,POSITIVE,sgqr codes," Thank you again for your feedback about the issue. Please send a screenshot so that we can get into a better understanding with you. Your feedback helps us better understand the issue and address any issues we may be having for future development and improve the app. We look forward to responding appropriately ### Reply: Thanks for your patience. This is a very important day for our users and you know the importance of good hygiene and avoiding potential issues. Thanks for your patience. Happy shopping. 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 here: https://review.gxs.com/15378048-qr-sg-token-is-valid-after-using-gx.html?action=logout ### Reply: Your thanks very much! This response was very thoughtful! Your feedback is greatly appreciated and appreciated. In general, please email us at support@gxs.com.sg with the issue you're experiencing, if you can. While we are always looking for solutions and improving our apps, you can reach us either via email at help@gxs.com.sg"
3,Hi Eric. We're sorry to hear this. We would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏,1,"With continuous failed to log in,contacted cso to terminate the account and we're informed once acct close can't be reinstated.Im fine with it since the problem it's on your app.",0,2024-04-11 16:59:52,NEGATIVE,cso terminate," Hi I know where your device is and you don't have any help. Please come to the nearest branch or ask for help.🤏️ 😍🙏🏽#help 💜🏽‍♂️#fix‍♂️💜💜🏽‍♂️💜🏽‍♂️💜🏽‍♂️💜🏽‍♂️💜🏽‍♂️💜🏽‍♂️💜🏽‍♂️ Reply: Hi,

We are in contact with the account holder regarding this, and"
4,Hi Hafidz Melek! Thank you for your 5-star rating review. 💜 We aim to provide our customers with a great digital banking experience. Thanks for sharing your positive experience! 🚀,5,"I don't get the negative reviews here. I installed, set it up, and got approved all within a few minutes. It was fast and easy. It's definitely one of the best apps out there.",0,2024-04-09 13:58:31,POSITIVE,negative reviews, I still really like it tho my friend :) 🙏🏉💜 💜📜📜❤️ ✈✈💜💜💜 💜💜📜 💜📜👍🏿🏿😍😍😭😍🍯 🤩🏙 💊💚🔙🏩 🏙💕 💙🏪💚 🎕💘💙 💚! 💞💞 📜📜💚💙💚💚 👜�
5,"We're sorry to hear that you feel this way, Lin Yao. 🙏 Do reach out to us via our 24/7 hotline at (+65) 3105 2055 so that we can address your concerns directly. We'd love to help. 💜",1,Not sure if i am already registered for the savimgs account really sucks!,0,2024-04-03 20:39:35,NEGATIVE,savimgs account," ### Reply: Hello, you might be aware of the upcoming feature in this bank guide. If you need to do something for us, please feel free to drop us an email at help@gxs.com or find us on Twitter @GxsApp.


If only there was an issue with a credit card that needed to be cleared manually and get in touch with the"
6,Hi Kh Lim. We're sorry to hear this. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏,1,developer is nutshell brain i think proof of address have to take picture cannot upload???????????????????,0,2024-04-02 18:43:38,NEGATIVE,picture upload," Hi @Grimpa @njgcc.com, Hi @Kurt@Grimpa.com in regards to your reply. We really appreciate your input and will answer to your questions in terms of the bank's terms. Also, our team is always in contact with you through our WhatsApp and email accounts. If you have any questions about banking with us, please feel free to contact us via our chat channel at +55 (0)20 3105 4100. Thank you for your patience and understanding. ### Reply"
7,"Hi Shaun. We're sorry to hear this and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be happy to help.🙏
",1,i cant eve open the app now and purchase things using their card. Uninstalling Now.,0,2024-03-30 18:28:36,NEGATIVE,card uninstalling," Hi there, I'm having an issue with my prepaid card that's locked into my account with some features. I need to check if the cardholder is being provided with access to the details of the issue to be able to resubmit the issue. For now, I am following up with the relevant banks and will review the issue when all is said and done. Thank you for your ongoing support and to be"
8,,5,Gif me mony plsse,0,2024-03-30 03:28:58,POSITIVE,gif mony," Hi Andrew,

Our Gif account received a gift recently which included an easy payment for our first banking account.

We are"
9,"Hey Jiaxing! Hope you love the new ""Favourites"" feature in the GXS app! We're just as excited for all the cool things to come in the future. 💜",5,"Gxs is simple and easy to use, with a saving account/pocket that has minimal TnC. Finally I can add payees and there is a debit card too. I am looking forward to the introduction of credit card and perhaps, investment into money market funds.",16,2024-03-22 17:33:40,POSITIVE,gxs simple, We are happy to have such a community where anyone can share and make new friends! We're interested to hear from you! 🙏😜🏼 Please let us know how you found the app with our contact us at help@gxs.com.sg or by emailing help at help@gxs.com.sg by June 3rd as well as clicking our icon below! 🙏🏼🏼 🙏🏼🙏🏼🙏🏼 💜🏴 💜🙏💜 🔼✨🙏💜 🙏🙏🙏💜🙏🙏💜🙏🙏🙏 💜🏴🙒 🔼✨🙏💜😒🙏🙏 🔼✨🙏 🔼! �
10,"We apologize for the inconvenience you had to face, Edmund. 🙏 We're eager to understand the situation better and seek your assistance to drop us an email at help@gxs.com.sg, along with a screenshot of the issue you have encountered for us to investigate this issue further. Alternatively, you may call us at our 24x7 hotline at (+65) 3105 2055.",3,It always ask for finger identification even though it is given.,0,2024-03-17 04:03:04,NEGATIVE,finger identification," Thanks for the reply. I hope it helps with further investigation ### Reply: Thank you for your kind attention ### Reply: Hi. As mentioned in our survey we appreciate your kind thoughts on our service. If there have been any bugs, please email our support team at help@gxs.com.sg. Also, please note that your question in the"
11,"Hi Sean, we understand your concern and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏",1,What I've installed on my phone is none of your business. I've been using these apps for years and your app only for a few months. Make a whitelist feature or this app will remain unusable for me.,0,2024-03-16 23:18:24,NEGATIVE,using apps," It sucks but really doesn't matter. If you're in search of a good solution for banking app, there don't seem to be any. We are constantly improving our services and apps and so there is always a gap in the app that's open to more ideas. We are continuously working hard to improve and improve each and everything we do. And it will certainly pay off for you through our support team. 🙏 Thank you for your interest. :) Hi, Andrew @ BitXchange 🙏 We're sorry for your concerns. We are constantly improving, improving and improving every element of our services. Your email address is always appreciated. Thank you for your interest and look into this issue from now till our next update. 🙏 🚌 Thank you all for your valuable feedback. 🙏 We're happy to hear it"
12,"Hi Xiangqing, we'd love to look into this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",1,cant logging using finger print . previously still able to use . so pissed off with the update .,0,2024-03-11 07:51:02,NEGATIVE,finger print," We support banking apps that provide real time feedback on our app. If you need a way to keep up with the latest updates, please share your thoughts in the comments below! ☀ 💜 You can view and comment below. 💟 We would love to hear from you! 💜 Happy shopping 💜 🙂"
13,"Hi Matt, thanks for reaching out! If you are referring to our GXS FlexiLoan, please be assured that all applications go through an evaluation process that is aligned with our internal requirements. This includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days. 🙏",1,For 1st time registration signup by singpass and all info's needed but still my application is denied.,0,2024-03-11 06:02:20,NEGATIVE,signup singpass," Thank you so much for the support and suggestions on your application. This issue went away last night, so hopefully we'll have it corrected soon! Good luck!"" -Lorna 🙏 ""Thank you so much for your feedback and suggestions! We'd like to try a new way for banks to participate in their daily shopping experience that they feel will help to make our digital experiences better and more engaging for everyone."" -Chloe ""Just to be clear, I'm always excited to try"
14,"Hi Jeremy, could you share more details on the issue you faced please? 👀 We'd love to help, but we recommend giving our hotline a call at (+65) 3105 2055 for the best assistance. 🙏",4,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",0,2024-03-10 11:28:54,NEGATIVE,account gxs," Hello Hi Aaron, Thank you for your comments and review! We appreciate your message. We are deeply sorry for any inconvenience! ### Reply: Do you have contact information for our office in Germany, via your U.S. address, for a call you should have a friendly chat with? Your call must provide the following information: Your phone number, country code, and address. ### Reply: Hi Aaron! We appreciate your ongoing interest in GXS! Drop us an email with your contact information, contact info, and any further technical issues that may or may not be coming your way. We look forward to seeing you soon! 🙏 Thank you! 🙇🅠 Happy browsing! ❤️ 😉

"
15,"Hi Nurhartini, we'd love to check on this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",1,They unable to process my application. 4x attempt,0,2024-03-09 10:29:58,NEGATIVE,application 4x," We'll do it again in 1 day.. 🙏@gmail.com 🚀 @cobaldvancouver 🯥 (@cobaldvancouver) March 25, 2015

It seems to me that it doesn't seem like there really is anything to be concerned"
16,"Hi AK Ong. We're sorry to hear that you are having issues accessing your account, and we would love to sort this out for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error along with your contact details, or call us at (+65) 3105 2055. We’ll be happy to help. Thank you. 🙏",1,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,0,2024-03-08 20:39:35,NEGATIVE,singpass qr, I would like to receive your feedback on our app. Take a look at our privacy policy page and send our feedback to support@sung.me.sg.
17,"Hi Vince. We're sorry to hear this and would love to sort this issue for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",2,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,1,2024-03-07 08:40:42,NEGATIVE,fingerprint login," Thank you. Our problem is that in order to provide feedback about this issue we had to have more specific feedback about the issue to be given to the bank. ### Reply: Hi all! We are currently investigating. Please take a look at this page for further details. 🙏 Let us know if something is needed! 🙏🙏🚜 🙏🚜 we know there are a lot of issues on our part. If you have any questions,"
