,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,68b47f84-f8f8-4361-bc53-3806a45c4dd3,Lin Yao,https://play-lh.googleusercontent.com/a/ACg8ocLGqpiCIhwP_EG1KzOGbfdgBQjq3M9XaMzIr3iYjNIh86bzwg=mo,Not sure if i am already registered for the savimgs account really sucks!,1,0,,2024-04-03 20:39:35,"We're sorry to hear that you feel this way, Lin Yao. 🙏 Do reach out to us via our 24/7 hotline at (+65) 3105 2055 so that we can address your concerns directly. We'd love to help. 💜",2024-04-03 21:02:57,
1,e3274e67-d290-4253-b967-b27736893806,kh lim,https://play-lh.googleusercontent.com/a/ACg8ocLozj6f5-PcMfag_u_idVNeKWLCLnnu0psp7z24Q-Yd65lS7w=mo,developer is nutshell brain i think proof of address have to take picture cannot upload???????????????????,1,0,,2024-04-02 18:43:38,Hi Kh Lim. We're sorry to hear this. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏,2024-04-02 19:37:41,
2,43172d2d-0b9c-48b7-8075-43517279c87f,Shaun Lee,https://play-lh.googleusercontent.com/a-/ALV-UjUeDb_gQFujG1e_13zhztkAAoE1WV0VEGDjayWqJ23dpKyOBrSm,i cant eve open the app now and purchase things using their card. Uninstalling Now.,1,0,2.25.0,2024-03-30 18:28:36,"Hi Shaun. We're sorry to hear this and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be happy to help.🙏
",2024-03-30 19:17:48,2.25.0
3,563f91f0-e097-4340-a88e-9649af686201,Md Tarikul,https://play-lh.googleusercontent.com/a/ACg8ocK3WDP1q8M_ErMSb548SLPlnrz7lp3Oe-pCAsepiEs3m1yahQ=mo,Gif me mony plsse,5,0,2.25.0,2024-03-30 03:28:58,,,2.25.0
4,ac6c71af-4648-47f2-b7ba-5adda442230f,Lee Jia Xing,https://play-lh.googleusercontent.com/a-/ALV-UjWJt8fnrXM8bVvMOxyN9uMJZXIE8j05gkJv4pOPFo87Qdkh3OaL,"Gxs is simple and easy to use, with a saving account/pocket that has minimal TnC. Finally I can add payees and there is a debit card too. I am looking forward to the introduction of credit card and perhaps, investment into money market funds.",5,15,2.25.0,2024-03-22 17:33:40,"Hey Jiaxing! Hope you love the new ""Favourites"" feature in the GXS app! We're just as excited for all the cool things to come in the future. 💜",2024-03-22 17:55:00,2.25.0
5,bf8596fa-148d-4062-807b-621b6af50b90,Edmund Tan,https://play-lh.googleusercontent.com/a-/ALV-UjXMIALNEDBvlAd4CTPHHg146jJbFrzVKV5Chi9oTn23YV7zYceU,It always ask for finger identification even though it is given.,3,0,2.24.0,2024-03-17 04:03:04,"We apologize for the inconvenience you had to face, Edmund. 🙏 We're eager to understand the situation better and seek your assistance to drop us an email at help@gxs.com.sg, along with a screenshot of the issue you have encountered for us to investigate this issue further. Alternatively, you may call us at our 24x7 hotline at (+65) 3105 2055.",2024-03-17 04:46:59,2.24.0
6,61d70f14-ba05-4ca1-97be-d50ff4a03b56,Sean Loh,https://play-lh.googleusercontent.com/a-/ALV-UjV2VrF8G_MJ-YqT9Hii7NkVoyYc8UXmvBpxdI3SXzylqSmA-Fo,What I've installed on my phone is none of your business. I've been using these apps for years and your app only for a few months. Make a whitelist feature or this app will remain unusable for me.,1,0,2.24.0,2024-03-16 23:18:24,"Hi Sean, we understand your concern and we would like to assist you with this issue. Please contact our 24/7 hotline at (+65) 3105 2055 and we'll be more than happy to look into the matter.🙏",2024-03-16 23:57:40,2.24.0
7,34fef766-b6ec-41bb-b844-eb48dd20a729,lim xiangqing,https://play-lh.googleusercontent.com/a/ACg8ocKbSVbLe86h5rANDNo8QBB0t6oM0btDrJ42unoC0ISh_j4hTw=mo,cant logging using finger print . previously still able to use . so pissed off with the update .,1,0,2.23.0,2024-03-11 07:51:02,"Hi Xiangqing, we'd love to look into this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",2024-03-11 08:52:46,2.23.0
8,666f0966-0c9f-4b1a-a37b-0ab7eefbf122,Matt Murati,https://play-lh.googleusercontent.com/a-/ALV-UjV5n4RkBrXO8oGp4W0NDkcx0jXAturosQ5oAJB1PtADcoBYYsO6,For 1st time registration signup by singpass and all info's needed but still my application is denied.,1,0,2.23.0,2024-03-11 06:02:20,"Hi Matt, thanks for reaching out! If you are referring to our GXS FlexiLoan, please be assured that all applications go through an evaluation process that is aligned with our internal requirements. This includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days. 🙏",2024-03-11 07:33:26,2.23.0
9,9669c871-cc07-4154-8bb8-a59dc51573d9,Jeremy Kuah,https://play-lh.googleusercontent.com/a-/ALV-UjUab2lpAxtisOU47UMf4_WGuADKRxRuHSJFv6cfleo0w453v8XP,"Updated - Kindly ignore my previous rating, and I have amended my rating. My son did a Giro to link his Grab Account to GXS but neglected to inform us of the transaction.",4,0,,2024-03-10 11:28:54,"Hi Jeremy, could you share more details on the issue you faced please? 👀 We'd love to help, but we recommend giving our hotline a call at (+65) 3105 2055 for the best assistance. 🙏",2024-03-10 09:27:39,
10,fbd1073e-5677-40b3-8959-89ef7663a82a,Nurhartini Nurhartini,https://play-lh.googleusercontent.com/a-/ALV-UjWhZAM59JdKLuQa6xxwOK9xcT09b1c9j6-0avga_OdFBSyJw4w2,They unable to process my application. 4x attempt,1,0,2.23.0,2024-03-09 10:29:58,"Hi Nurhartini, we'd love to check on this for you. Could you please reach out to us via our 24/7 hotline at (+65) 3105 2055? We'll be more than happy to look into the matter.🙏",2024-03-09 10:48:09,2.23.0
11,de27526e-6508-4a55-a6b0-5e56c38cf1b4,AK Ong,https://play-lh.googleusercontent.com/a/ACg8ocKQ5PrDVkjqSM4sypQeae7MJpT3FfWNTIr1j4xrmMPcbhH0PA=mo,Try logging in after logging out completely. Cannot see Singpass QR at all. How to log in again? Something wrong with new updates?,1,0,2.24.0,2024-03-08 20:39:35,"Hi AK Ong. We're sorry to hear that you are having issues accessing your account, and we would love to sort this out for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error along with your contact details, or call us at (+65) 3105 2055. We’ll be happy to help. Thank you. 🙏",2024-03-08 21:21:01,2.24.0
12,905158fa-9508-42c9-bb57-6156e76b8851,Vince Chew,https://play-lh.googleusercontent.com/a/ACg8ocJtCeKS9iljvelcpidhn2uV1Wie5IBD94yfzLBCJ7Z8rOincQ=mo,Fingerprint login no longer work since 2 months back.. all other bank apps doesn't have such issues.,2,1,2.23.0,2024-03-07 08:40:42,"Hi Vince. We're sorry to hear this and would love to sort this issue for you. Please get in touch with us at help@gxs.com.sg with a screenshot of the error, along with your contact details. Or call us at (+65) 3105 2055. We’ll be happy to help. Thank you.🙏",2024-03-07 10:45:30,2.23.0
13,89177467-1434-4afa-afbc-48dffec0a567,Anna Y,https://play-lh.googleusercontent.com/a/ACg8ocJex4FQsMBlogiTLVLKr2WDvKZ0yFt6CacB-33Y37hQ86P9_A=mo,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",4,0,,2024-03-06 12:14:17,"Hi Anna. We're over the moon to hear your positive feedback about our GXS Savings Account, specifically the Saving Pockets! It's always fantastic to know we're hitting the mark. We're constantly working on improving our services and your feedback is a valuable part of that process. Thank you for your support! 😊💜",2024-03-06 12:47:19,
14,e117eb07-7549-43e6-8318-55ce1fcfe694,Jia Hong,https://play-lh.googleusercontent.com/a/ACg8ocLG1U5sTlByNq7dS3btDFLhN4p7ZRmaf79opFBo2BaO2kDPXQ=mo,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,5,0,2.23.0,2024-03-06 09:39:11,"Hi Jia Hong! We are happy that you like our app! This 5-star review made our day! 💜 We are thrilled to hear that you find our app easy to use and that you like the short-term loan feature! We're constantly working on new and exciting features, and we can't wait for you to try them out in the future.😍🚀",2024-03-06 10:30:02,2.23.0
15,6caa76db-0b0e-4e9a-ab66-45a5c6935d2a,E,https://play-lh.googleusercontent.com/a-/ALV-UjVTN62YoOfAvXBFeUmiEh7Gnro8WgHwBGXEee_nbDIT-9PEekQwYw,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",3,12,2.23.0,2024-03-04 12:23:26,"Hi EE, that's a fantastic suggestion and it's been captured as part of future enhancements! 🙌 We have been busy working on new and exciting stuff, and we can't wait for you to try them out in the future. 🚀",2024-03-04 13:00:32,2.23.0
