,date,review,rating,isEdited,title,userName
0,2021-09-15 04:15:23,"Trying to activate OneToken after downloading the app. Several attempts wasted with error message. Called customer service. First they tried to pin on the device. Hello both my iPhone and iPad are up-to-date. The the customer was blamed “because you tried so many times”. The reason why customer has tried so many times is obviously that he/she does not succeed in the service activation in any of such attempts. Shouldn’t app quality be questioned instead of customer? Proposed solution: to remove the app, reinstall in half an hour. Will update if this works.",5,False,Disappointing app and customer service,Dragmos
1,2023-02-19 00:27:14,"Genuinely surprised to see this app having such a high rating. However upon looking through the reviews, I realised that there are many reviews voicing their frustrations only to have a 5 star rating pinned to it. Perhaps users aren’t familiar with the rating system. Anyway, this app is really unreliable. A common issue being…….app is not able to load at all, and if it did, another issue users might face would be the app being ‘temporarily unavailable’. In the event that users finally manage to enter the app, there will be times where users get logged out almost immediately due to ‘long periods of inactivity’. Truly dysfunctional. Whenever I intend to make a transaction via PayNow, I always check this app in advance as i truly have no idea when there would be errors in logging in (which then affects whether I am able to PayNow). This app has been problematic since forever so i’m really not sure why it hasn’t significantly improved i mean isn’t the loading of the app and the log in something BASIC? I’m not even talking about how user friendly (or not) the app is, or about how the app could be potentially lacking in terms of features, or about the layout of the app etc. I just want the app to be FUNCTIONING in the first place",2,False,-,cheeseburgerspy
2,2020-12-03 03:46:44,偶尔经常自动更新之后无法登录，需要耐心等到第二天才能解决,4,False,使用偶尔遇到一点小问题,Lyyyyuo
3,2021-07-27 10:09:03,"Overall it does what it says on the box. However recently I have an issue. I use an OCBC debit card but I cannot see the breakdown of my transactions, making it impossible to track spending and manage my budget. I could see all these before the update. Am writing here because I can’t find a “ask support” function in the app.

Update: after contacting their customer support via their in-app secured mailbox, I’m glad to say the issue has been resolved! They were prompt in their responses and fixes. Very grateful.",5,False,Fixed: Cannot access money insights,BooBecca
4,2022-05-05 17:35:00,"Been waiting for years to install this app after seeing so many bad reviews. Then come news about OCBC wanting to stop the use of physical tokens. I thought that OCBC has finally over come the technological barriers to bring forth a stable app. How wrong of me. Installed on 19 Apr 2022 Tue, and tried to activate the OneToken (the replacement for the physical token) on the app. Unsuccessful. After going through days of trying, 5 customer service personnels, and references of my case to the technical department, I still failed to get the OneToken up and running. 

Oh wow!! How patient I am!! But now I have given up, and asked the customer service personnel to close the case even when the problem is not solved. I have since uninstalled the app.

This app still need more work to it to be fully functional. — 5 May 2022 Thu

Update: Something I left out. For those who are concerned with privacy, should note what this OCBC banking app does.

1) It wants to know your location when you are using the app.

2) It wants to know your location when you are NOT using the app.

3) It will scan your wifi network when you are on wifi.

That’s a lot more than other banking apps I’ve used before.

— 6 May 2022 Fri",1,False,Updated: App Not Ready? — 6 May 2022 Fri,YesImStillUsingEmails
5,2021-06-03 13:45:10,I recently upgraded to another iPhone and the nightmare started. I tried to activate the one token on the new phone but was told to deactivate first on old phone. There is no option to deactivate on the old phone! Called customer service but not much help !! Now I’m stuck ! I can still access my account from my SIM-less old phone but can’t do anything on the new phone ?!,5,False,Not so friendly after u upgrade to a new phone,Dadoo1234
6,2023-08-17 10:13:33,"The recent decision for this app to scan your phone for third party apps is at a best a misguided attempt at protecting the vulnerable from harm, and at worse a violation of the end user’s basic privacy. 

To require deletion of third party apps before being allowed to use the app is such an out of touch decision, making the lives of people who use such apps knowingly and securely all that much harder. A pity since this app was very useful to have. An alternative approach would be instead to not _force_ deletion, but rather make the user aware, and allow them to continue their transaction at their own risk. 

On a more emotional front, being treated like a fool who requires constant guidance and protection doesn’t sit right with me.",2,False,Recent Security Changes,Hitlers nut
7,2021-06-02 04:04:34,"1. OneToken issue:
 I was prompted to enable notification upon logging in. After I clicked the “activate” button, “OCBC OneToken has been set up on your device.” appeared mysteriously on the screen.

2. eStatement password
1) I downloaded the eStatement from mobile App. When I tried to erase balance using iPhone in-build Apps, password was needed. However, after I entered the password, it’s said to be invalid.
2) I tried to reset it on mobile Apps according to the instructions given on OCBC website but the system kept on telling me that there is an error, without specifying what the error was.
3) I called OCBC customer service, it took sometime for the officer to figure out that “Password can only be changed from internet banking on computer”. I followed the steps instructed by the officer to change the password and used the new password to enable editing of the eStatement that was downloaded after the reset of password, it did not work either. It took altogether 45 minutes for the customer officer to troubleshoot and guide me through all the tedious and illogical steps on internet banking and mobile Apps, nothing worked at all.",1,False,Worst ever banking Apps,SLXJ5
8,2021-01-11 02:07:47,"Looks like I’m not the only user encountering this. Changed to a new device and OneToken doesn’t work at all, apparently I needed to authorise it using my old phone, which thankfully I still had, but that function didn’t work too. I was asked to request for a new hardware token just to activate the app on my new phone. And THAT didn’t work too until I was told to delete and reinstall the app. 

All told I needed to call their help desk three times over two weeks and be put on hold for 15-30 minutes each time. And wait for the new hardware token to be delivered to me. 

And like someone pointed out - this is a single point of failure. I ran the risk of not paying my bills on time while I was trying to sort out the above. The hardware token is rendered useless while the mobile token is activated. 

The app team needs a severe rehaul of the UX/UI design. This experience is enough to make me consider switching banks. I was prepared stay loyal to OCBC even with low interest rates because that can’t be helped - but this incompetence cannot be explained away.",1,False,Change new phone - complete disaster,Monkeyshouldersprain
9,2023-10-10 15:10:13,"Hi! Ever since OCBC Pay Anyone app been removed, I have been using this app more often for the purpose of scan & pay. Is it possible to add the feature of toggling to hide or reveal the account balance? 

Also have the balance hidden first after login. If a person wants to view then click to reveal. It will be great to add this feature as I believe that most users do not wish their account balance to be seen by someone else, esp someone unknown. Thank you for reading my suggestions. 🙏🏻",4,False,Privacy,Ginseng888
