,date,review,rating,isEdited,title,userName
0,2020-03-01 04:14:38,The OTP to create a new billing payee was sent to my email account? Why the sudden change? Furthermore when I get out of the app to retrieve the OTP and get back to the app by switching (I did not turn off the app) the whole app reset and I had to recreate from the beginning when I switched back the “window” on my iOS. Does that mean I now need more than one device to create a new billing organisation payee? Why the huge inconvenience? If I’m outside and have only my phone how can I create a billing organisation payee easily? The Face ID issue was only resolved after I reset the app and had to change my settings back to enable Face ID. Most likely this issue occurred when the app was updated but this is the first time. Not sure what has happened to the quality control and processes that were in place before. Things are not as clear as before.,5,False,Face ID and OTP issues,namly
1,2021-12-23 20:47:02,"I find that the POSB digibank app is very easy to use and that everything is pretty simple for us users & consumers to understand. Only problem that I feel needs improvement is the duration of how long y'all take to maintain the app, as we users sometimes are promised a fixed timing whereby we can resume using the app, but when we are on the main page of the app, it indicates that the maintenance still isn't over and that causes a lot of problems as we cannot complete, let's say an important transaction that is really urgent and needs to be done as soon as possible. Other than that, I don't think there's any other issues regarding the app. As a whole, a great app and a very useful platform for users & consumers.",5,False,Easy to use & simple to understand,Mr. Lukkimen
2,2022-12-12 02:43:20,"I absolutely love the POSB Digibank app! It has made managing my finances so much easier and convenient. The user interface is clean and intuitive, and I can easily view my account balances and transaction history. The app also has a lot of useful features, such as the ability to transfer money to other accounts and pay bills. I particularly like the fact that I can set up custom notifications to stay on top of my spending. Overall, I highly recommend the POSB Digibank app to anyone who wants a simple and effective way to manage their money.",5,False,The best digital banking app in Singapore!,sdlin
3,2020-11-09 01:44:36,"Well introducing digital token is a great move and I like the fact I can use it without entering otp and that it is a seamless way to make payments. There is one caveat tho - The way the app allows you to access the digital token. Well u can access the token via the splash screen when u on the app. Great! But upon login, the digital token is not accessible or not that I know of after using this feature for almost a year. I find myself in a situation where I have to log out or force close the app and reopening it to access the digital token.  
Sometimes I need to make sure I have funds before I want to make payment but I can’t get the app to either automatically respond to the payment I’m trying to make and there is no way to access digital token when login inside. Hopefully something can be made to resolve this.",4,False,Accessing digital token when logged in.,NicParrottz
4,2024-02-13 11:05:23,"Under Payment Controls > Monthly Spend Limit, there is a Current Spend tracking. However, as I was told by CSO that this Current Spend follows a monthly cycle that starts on the day that Monthly Spend Limit is toggled on. Let’s say I toggled on the Limit on 13 Feb, this will trigger the Current Spend to start tracking spending from 13 Feb - 12 Mar. Over time I tend not to remember this cycle (when it starts and ends) and the entire spend tracking is rendered meaningless. Wonder if change Limit midway, will it also change the tracking cycle? Hope to see a spend tracking based on calendar month controlled by monthly spend limit.",4,False,Payment Controls Monthly Spend Tracking,aezjnn
5,2021-09-22 01:43:13,"POSB digibank app is the best banking app in Singapore I’ve used. I have all 3 major bank apps and a few other banks app. Digibank is fast, clear and easy to use. Unlike other banking apps, there is no lag when moving from 1 screen to another 👍🏼
I wish the bank can lead other banks in savings & fixed deposits rates too 😅 There are areas the bank can do better which I will not mention here as it’s not directly related to the app.",5,False,Best bank app in Sg,sktan21
6,2021-03-30 13:52:10,"When I start up the app on my new iPhone 12 which I got in Jan 2021, it causes the phone to get very hot within 1 min. The problem became worse when I upgraded to iOS 14.4. After using the bank app, my phone functions will fail (eg I can’t open apps, can’t download mails, can’t sync to iCloud). Upgrading to iOS 14.4.1 did not help either. I have to restart my phone every time these issues occur. The issue recurs again when I use the bank app. It is unsustainable to keep restarting the phone every time I use the bank app. Given how essential a bank app is (now that the app acts as the digital token and physical tokens are phased out by the bank), I hope that both Apple’s and DBS’ teams can work together to resolve this issue.",1,False,Bank app causes phone to get very hot within 1min of use,cocao beans
7,2023-11-26 05:37:52,"This DBS/POSB banking app blatantly misuses push notification access for the purpose of advertising. App Store policy: 

4.5.4 Push Notifications must not be required for the app to function, and should not be used to send sensitive personal or confidential information. Push Notifications should not be used for promotions or direct marketing purposes unless customers have explicitly opted in to receive them via consent language displayed in your app’s UI, and you provide a method in your app for a user to opt out from receiving such messages. Abuse of these services may result in revocation of your privileges.

This is a word-for-word popup from the app: With app (push) notifications, never miss: 

1. Offers you wish you knew sooner 

2. Protips to spend wisely 

3. Smart insights meant for you. On a banking app, I would definitely want push notifications for security purposes, such as transactions and login or Digital 2FA token notifications. 

However, I can only either accept the marketing spam (promos etc) or not have these important notifications at all.",1,False,Violates App Store policies,lily_cats
8,2021-01-29 12:33:59,"I’m unable to login when I’m on mobile data, even after clearing of cache, or restart of the iPhone. When attempting to login, it will cause data cut to the other apps too; unless I kill all the apps and switching on/off the airplane mode to re-established a connection with the mobile service. 

Sometimes, almost never, i can log in, but! as i tap on any of my account, it will throw an error message saying “your system encountered a momentary Technical difficulty...” the same error as logging in or any of the area in the app. 

It will only work fine, on wireless connection. Of course, I’m in an open area, full coverage of 4G, and even tried using it during midday afternoon or super late in the midnight. Same result even no peak hour traffic. So i still think its the app. Because i can do every mobile data related to every other app but yours. 

I hope the development team can take a look into this, because its causing a lot of inconveniences.",3,False,Connection,JustWJ91
9,2021-09-22 03:32:25,"Every single update says “performance improvements” but every single time I open the app, my phone gets hot and the battery starts going down about 1% per minute. Are POSB mining Bitcoin on our phones?

Because of this, I use the app as little as possible. But giving more than 1 star since it’s still better than UOB’s app.

It would be more usable if we could give nicknames to bill payments, I have 2 accounts with M1 but POSB only lets me identify them by the 9 digit account number so I need to try to remember which is which every time I need to make a manual payment.",2,False,Fix the terrible performance,Sg.A.M.
